x,y,f,m
3.671875,114809.53537225556647128248296517639,25.870953784841369561684528027070826,32
3.6875,128203.64746753047096988719545101278,26.101999872285020831757831585069919,32
3.703125,143233.73875539705918124651639054996,26.33400183047081256566324789676187,32
3.71875,160107.86810786361909427058185428238,26.566960245449324021380379581799296,33
3.734375,179061.53292070486976502967445546331,26.800875683684450593440784937116258,32
3.75,200361.4093850143371089487534959998,27.035748692605746036249944154031189,33
3.765625,224309.61838481320518734637279184951,27.271579801163946686436207606025017,33
3.78125,251248.59300703525414315109291308844,27.508369520387229573608935606446705,33
3.796875,281566.63492933272724870684934410769,27.746118343936015522408303735165606,33
3.8125,315704.25994661961639065110283713238,27.984826748654370288196013276396863,35
3.828125,354161.44787646176476209327005170114,28.224495195116281995976830855226016,34
3.84375,397505.92935630052511053643930355359,28.465124128165302268103450143068934,33
3.859375,446382.66197153851725057339687002576,28.706713977446232062647135272566272,33
3.875,501524.67114979789520242990362254213,28.949265157927712055672919909042179,34
3.890625,563765.45780727809669663655918222099,29.192778070414742057756527132925039,34
3.90625,634053.20540020144368733472916197547,29.437253102050305138430572210469929,34
3.921875,713467.054470803924174344967501649,29.682690626805410526550806779219958,34
3.9375,803235.7537420120813178285193550522,29.929091005956995643740905005358913,34
3.953125,904759.04419001154971033477216450375,30.176454588553242490836374985170741,34
3.96875,1019632.1873353551295569703166902929,30.424781711865967713309914291451708,34
3.984375,1149674.1124348408864364843536016323,30.674072701829839678374041210169785,34
4,1296959.7307176392315279409506217673,30.924327873468260445970009719083459,34
4.015625,1463857.0499081125418817466134509401,31.175547531305826232699560340463923,34
4.03125,1653069.820899378238440662675278397,31.427731969767347456857922742628476,34
4.046875,1867686.5627826329632127858180688903,31.680881473563469297759957428782163,34
4.0625,2111236.945058707514561916328411213,31.934996318062986464664202164257671,35
4.078125,2387756.6597474664053988139498552643,32.190076769651992087433151996317839,35
4.09375,2701862.0947531003528854659577639773,32.446123086080040826059942743068498,35
4.109375,3058836.3273078917310732801669589923,32.703135516793540938129857781041034,35
4.125,3464728.1973552068583543007730466207,32.961114303256619606087032915378784,35
4.140625,3926466.5008954056864423002355129926,33.220059679259730748866433105666716,35
4.15625,4451991.6690939683766754007859864101,33.47997187121629523931202640786885,35
4.171875,5050407.6779253224885860385135841494,33.740851098447680309682188053169062,35
4.1875,5732157.3741719796660840856442081244,34.002697573456838318292746411596633,35
4.203125,6509224.9171002623695631150929844003,34.265511502190935313368483634709225,35
4.21875,7395369.6332470122809968522954808528,34.52929308429330728506344933993197,35
4.234375,8406396.2787127664917675105570046081,34.794042513345086940886733291525861,36
4.25,9560467.515846173411849930213529016,35.059759977096846549657077697995487,36
4.265625,10878465.358773289084622837398036585,35.326445657690603130373276764104079,36
4.28125,12384409.44780011417833448627231821,35.594099731872531251210995028668217,36
4.296875,14105941.303192124565310538722116115,35.86272237119672616774142495270454,36
4.3125,16074885.215774013004760060695528906,36.132313742220356168149288211084968,36
4.328125,18327898.192254122308772364673365444,36.40287400669053798960386016012636,36
4.34375,20907223.430687620762131095967875437,36.674403321723263190989924076319851,37
4.359375,23861564.207196047486656032077248775,36.946901839974696564923900378666069,36
4.375,27247097.86908200771364536860472749,37.22036970980516018426343334886915,36
4.390625,31128652.922523276595604571129655052,37.494807075436108629866453833226909,37
4.40625,35581076.058287794679301727531309866,37.770214077100392449535655877700964,37
4.421875,40690820.474291846658642659751256023,38.046590851186098053773097717090997,37
4.4375,46557792.144618648904093873015061594,38.323937530374243152366533536240461,37
4.453125,53297496.886634089190072705196973443,38.602254243770597557238784295311693,37
4.46875,61043538.35112982911876509884752351,38.881541117031889792574473849921122,37
4.484375,69950525.593684503363848668541194004,39.161798272486650525727839763089902,38
4.5,80197458.901217478177316400169873536,39.443025829250934416798789188888795,38
4.515625,91991674.308622641690633800228918799,39.725223903339152628931321284330442,38
4.53125,1.0557344105640485710164735142656297e8,40.008392607770238986741772582455763,38
4.546875,1.2122132247748282178808039685883263e8,40.292532052669363652317090372830597,37
4.5625,1.3925842989227436322522148525248898e8,40.577642345365399237060575097354052,38
4.578125,1.600597215470360236733720950594055e8,40.863723590484335508569134436777416,38
4.59375,1.8406052505563710583608386775288679e8,41.150775890038830305581139002196021,38
