x=1, n=16, |dx| = 0.5
i,p_i,q_i
13,3.8947190933965831542664072448965920275022680315512782307264618015e-5,1.6822289873879364485164530885300400775778625874854728267049994742e-6
14,4.4398081386416710439599364478344361750147868070255438038858969687e-6,1.6686346455582028780730704443470780406670442848111100774443789046e-7
15,3.5959539111820869932322927751234622407077960610975893045502423034e-7,7.4702707316297076643950056957562555644903841236635888931772827894e-9
16,1.7202464462827082483739634762394701004197334480454405209664423700e-8,4.4153996090460480171576903519239698899989603142698302254098778009e-11
relative error = 7.1174759403e-30

x=4, n=16, |dx| = 0.5
i,p_i,q_i
0,7.7310819683670651114925024297708646958520521992866025030448340851e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.8104564507146401733047017966797172862646482806607230140171837702e1,2.0728712006147722292473910023388668733867279390314361541336075268e0
2,2.3510989265953824880388456621708254345592831185321910440123488673e1,2.4870222443287826910014658542208554807973613784367627815130149749e0
3,2.1387992709458738817298468248087315102298169954360778095438568822e1,2.1033821457448069621490916061359115018828595390935007528572855954e0
4,1.5022624347661477561413350147049698023845399767175909805969778702e1,1.3837817602849747834625409055407506035070842116291038489551263122e0
5,8.5460313251676746416473139856474791678173814927248466050787901149e0,7.3808504201764904423057515500136784269019335149248232919909301346e-1
6,4.0485688652607756819551089546726827520627278452800386464312247383e0,3.2811771958224671617016454593851106185640006713598519898231930579e-1
7,1.6222965760516587511611932348565754822779170013576179201362941230e0,1.2304488005133628236564774866655277318224499947568771763770091870e-1
8,5.5430181117701047541377873317109396959906468627692548833465015957e-1,3.9201441118670388925920334453703113008375406356465953534140824102e-2
9,1.6177582227199525022278937586525585499555424196694108576822637558e-1,1.0589178539694145132315726716490966625042906455317635355955772823e-2
10,4.0175159206793489198790768024892696937735600585000352645831306166e-2,2.4088188578445377461316430453687535807906496387385609247984086957e-3
11,8.4016892726309546361074959976817962833782930114952349044146897323e-3,4.5377348025087524189073673503114123868675453884635341964873148851e-4
12,1.4521013567118874226554990870182534824138236025645975565800676888e-3,6.8792810587834344950971150080698537565029696169520285631388473649e-5
13,2.0090014269655098266150470789999098501184290124106688302288684512e-4,7.9823992259531367880691105680073195284521416826564830208393235429e-6
14,2.1054500720051341844393948865133441506967474264198998838980492470e-5,6.3949205572061020404811029706551266831654200574518266843604257073e-7
15,1.5008252538325129721600523352849369139899530411699916296085331387e-6,2.7736282345251773488229762096887022584091254779856749357443292707e-8
16,5.5465180986282728769501568221025972518840212998757546945278280306e-8,-2.5511862138536188841844640472444168008534192071627300294254014193e-13
relative error = 1.6541345840e-30

x=5, n=16, |dx| = 0.5
i,p_i,q_i
0,9.7910516704335477859535466823176468480537465678827256319753324856e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.7921376025426034134707080826453990829252440881682374908279228503e1,2.6427755674426292989518305071981436394860236741433518783319543208e0
2,4.1465459820573358450224479301866302064729818357963651435146202559e1,3.6839150625187802620175130223443783073017639771406225354452216808e0
3,4.1792970412485665059238981382019757684623792003164732829670122853e1,3.5013334641656886208709645006563144242490101270126132500572490273e0
4,3.1696581152283681060163813000206494337802381714336788177924269311e1,2.5090586251666809894738417947606741897834789760769642420170744763e0
5,1.9059529489299003693884224926369067391978328590459734019762287418e1,1.4253398722520892594805578036850687026701571105181431724563696565e0
6,9.3571964176983229154299719951518573146974056009421379749140454932e0,6.5986288950174097386092102530035914727972667359999448145080170178e-1
7,3.8127357140533375845948414052223212732825339754903309175203867530e0,2.5259479735816846998512520104140193330649814382544132497355983050e-1
8,1.2994181185587479722991921315903922755730171480045734400277158279e0,8.0394810408346628217190603636164471598657633951711043591178773256e-2
9,3.7072154081564606051201686867602824741917350303613292601054660626e-1,2.1228360278238839820832661131828198370505824232295526748476378070e-2
10,8.8034404954607685523302914802212597153454905958701506301215340302e-2,4.6036675769578041655119024667090891100663593492059233421402766361e-3
11,1.7173633219590195105395246532457575349651136856714756218915014667e-2,8.0363321448822007893882856431318065256849634530656752180697481097e-4
12,2.6898132793908807404631456716572823414972409473354244904134941114e-3,1.0904447263447069598820573322177643526454729807749622677135721008e-4
13,3.2567290575606957526518343431407042887341218589957629603455069932e-4,1.0817226343559754769757874522471267483020624270425893766738867444e-5
14,2.8582395402243592632148834042162513874449128022102625724623340417e-5,6.9696491481779921514497022323026977707443777063719236100753133813e-7
15,1.6105217833284358795633036434490419009215216495188707333362685004e-6,2.1658723379563807973438568892960387294292352037899612074550484623e-8
16,4.3317079936517450890313460086864068767975384975283990103534953056e-8,-5.2726026268247090353627471346699060216946728568197077764746483440e-15
relative error = 1.6812114888e-32

x=6, n=14, |dx| = 0.5
i,p_i,q_i
0,1.1828343906841005143089660518529638923705202014664859953772067161e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.6716232807564326453696250056975894158025957331607475708936314941e1,2.9324329574078589943849463751658741710890348568749519611702606653e0
2,5.7051482745127705293286511727551325218141528151391731646422845227e1,4.3203865209739362587687658736539165826107372496471922755017647846e0
3,5.8217052753740645643871356567614455596766429616245720998462988014e1,4.1814966984912878962101384832150015467106109284464010949173564231e0
4,4.3286777395013986533051556286006840057811760574768455768638651503e1,2.9435908109806898944502796272858992991461534964102557589488746949e0
5,2.4672276257817490007888991413215158919620452385338920659864215357e1,1.5822059858956689317682455950437593414190637498673109380129062562e0
6,1.1061779045699293016700033847370744202670522628880905079196860294e1,6.6467579779665316397621730633761300764364231049930655562656856452e-1
7,3.9437599668669752195508373793744988423971253932687447131524695137e0,2.1986247866423115403992636346084675695024979072097698491340684436e-1
8,1.1176191969722562272056709688788773042195273064407370352867853297e0,5.6956980606148307904840548423560159048058161841557749937339474123e-2
9,2.4902857207206005935640031630646996365436658325844366312778600034e-1,1.1340484333210148001640202586428945924697250487078301995559266316e-2
10,4.2642978885863293246850873574332652632605436462529411910793661147e-2,1.6733511116330736974309675221203980265459962850161553341831538542e-3
11,5.3956186258084595923081256398520059189045325505124031350971355309e-3,1.7148740933164910845367577894876235636610062817365884534353868836e-4
12,4.7224320331001141862962373057931525806383533844928816390494486104e-4,1.0798279086175868068407165413262366417948706977192061121196994358e-5
13,2.5328147634572656899772366326495866782563457757722247726058880976e-5,3.1096579255208878045692796258544231208729313307730016238194726963e-7
14,6.2193158477477460526788917863971345444346394879274928178196332652e-7,-3.0796610418536335962777531384959676063942080919597536303749033717e-17
relative error = 1.8430131822e-31

x=7, n=12, |dx| = 0.5
i,p_i,q_i
0,1.3854066182048899019025404065549862573649441884507977562821999699e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.9609364965274341341990294476429214721424897573379198225978812255e1,2.7131087508361986786153169585030769934743231051143986048895166142e0
2,5.4362107070468589628064477513416776185991235161429887831714453524e1,3.5282156007316741951951874603979752575661578448864752415473250631e0
3,4.6891180094942788215646132333528719360626257348578224965793703978e1,2.8703788407700648430348089819076906380779715609855017044085577225e0
4,2.8068429144882202750361486588086029309124256790368849748723302811e1,1.6078723291630605585982020150317632356966068986232677650662651366e0
5,1.2178617933878625694180461256197270211948856230603384835403273018e1,6.4499346995759183052947333878438818691983075594288856952628348538e-1
6,3.8930029269943392418816983327907997641164152606873064147967385014e0,1.8717130346936604655801717176817968819426674662539256832904851935e-1
7,9.1538998511756872049112359276104305840487360786045558230164942383e-1,3.8867789344422218323322361363928837851366877539048407362868949922e-2
8,1.5575397888688978280935797218149786268912491730454663117955731351e-1,5.5984155967818594513884487793668037026469062547967483064721017173e-3
9,1.8556884923044978015397433301234838174268465898016725867428772463e-2,5.2743980157434650328695413234585404711500628081597442455204008811e-4
10,1.4605059518072639358896873354865974653999244200793949857719415905e-3,2.9023514975088939657536527809217519167703649821134744000093745562e-5
11,6.7887090623874864226002790680003399509096201996682714049931040944e-5,7.0286147844776619336813197204195995642585789616416479899943519600e-7
12,1.4057229579424521534163920461432487333502052205931244808295597752e-6,9.4361164878439823612062140985635295152685376458560254351629598306e-18
relative error = 3.0103148094e-32

x=8, n=10, |dx| = 0.5
i,p_i,q_i
0,1.5872965808282527398141654292769446232287941255522868066084705856e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.3803497531170520513854251228063509710834999450208914722165979579e1,2.0025928697565605639770944756755935304446682515460566158914591078e0
2,3.2220302072892918645400008481248304706703526923104746587407656342e1,1.7756235143354188742689468430516372394339997029078385272113997515e0
3,1.7892292230675468473723834761294211601829326022349933763776764181e1,9.0190694964224764135313500519201693928748630775769672519627932507e-1
4,6.3677593906197239167195260325406145218435823653834346011424976265e0,2.8680439430160588013758834287478732708184245708536241069937484030e-1
5,1.5130047056493860196956345838709060130948000308163658897077915290e0,5.8980507542142548659025635647157389597908228857436087296823123196e-2
6,2.4286638971241713544239617209555428325497278020273383194204772039e-1,7.8344199543586664519859383662345932870485254940598366603885803483e-3
7,2.6017090169990504742369819356518453745429665231714094235310620948e-2,6.4835646854559389731674184244633907054889516351438596867240413194e-4
8,1.7819504044161082382618097144085199480996083348302741587726669032e-3,3.0365720499192763582292007978904499680236011666397221915714368176e-5
9,7.0556411942412651830992895212649042806752075087375234991090898185e-5,6.1406068405955093807779018717150348179054291883056898757519924719e-7
10,1.2281213681522540463066811081077859481317972633499532083049861054e-6,2.5618760923589509148585272007591219673857762362528369251730301551e-19
relative error = 2.8887161814e-33

x=9, n=8, |dx| = 0.5
i,p_i,q_i
0,1.7887472752337970905499823048254457515247318938971706623865402835e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.9828476580431805853811045928919387076825838385331741677918032548e1,9.9598466203969985770903642685902436792268046478284561588716018034e-1
2,9.4964119467827666627236778268254116307588701853809732919373172034e0,4.1890478835751705551810430190569772181896763365944262717746071671e-1
3,2.5678941483848391079024274226198973957226963088785321814023234417e0,9.6492853807695305398841907381763855517447038318195398564025442942e-2
4,4.2901477196417279220830009083742592938247209296314124142737410895e-1,1.3152210627761866800315996183086086903075697109793932892765025547e-2
5,4.5366828452781352462870654853522867381488216910130882244171517103e-2,1.0611914077153072505178552376466549585358585547708315820448008428e-3
6,2.9665594332401043625917395357330489449104633827068122736556912013e-3,4.6947524340461690236409332975445736919645029065037646484191691013e-5
7,1.0971381462671259441996087070757364620503390726615175254839901307e-4,8.7882033034621004924540531681544761652130550600781921279832124499e-7
8,1.7576406607070354469844096873104059463330536103271978051780521806e-6,1.0440508065691533876188572448122784538050849841123566783315484415e-19
relative error = 4.4158490315e-32

x=10, n=8, |dx| = 0.5
i,p_i,q_i
0,1.9898974028137224259857482961929979165557417892361407832888916578e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.8664785612904133260824585759510622319613253505475711432677515565e1,8.3695131211739610544220822923496350983771445705686659035618068689e-1
2,7.5969672812588615169904536374575835384747103725979752622677960541e0,2.9727648477002242410139003340657017218928825721543604810787977204e-1
3,1.7529164271831454714268523599749323791648869181169727422122170405e0,5.8097325428113501446492034357460262457135171261954932898974921234e-2
4,2.5083797912029072594777493102514101923821311428619826864333336171e-1,6.7480513682808503243033421695926557391401679837724652839114251889e-3
5,2.2799261469122692535330234053523432579328211389282305565400566914e-2,4.6590037205217906754076942564666039614672406944590486772277039771e-4
6,1.2856519936774712008169751389597619221787866309945402306778752526e-3,1.7706853202290746858443552695618676451921327261820372531137310561e-5
